Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
2340,2340 Grundstücksaufwand,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2340 Grundstücksaufwand
2341,2341 Grundstücksaufwand (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2341 Grundstücksaufwand (nur Einzelunternehmen)
2349,"2349 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2349 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)"
2350,Grundstücksertrag,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Grundstücksertrag
2351,2351 Grundstücksertrag (nur Einzelunternehmen,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2351 Grundstücksertrag (nur Einzelunternehmen
2359,"2359 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2359 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen"
2360,2360 Grundstücksertrag,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2360 Grundstücksertrag
2361,2361 Grundstücksertrag (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2361 Grundstücksertrag (nur Einzelunternehmen)
2369,"2369 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2369 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen"
2370,2370 Grundstücksertrag,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2370 Grundstücksertrag
2371,2371 Grundstücksertrag (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2371 Grundstücksertrag (nur Einzelunternehmen)
2379,"2379 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2379 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen"
2380,2380 Grundstücksertrag,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2380 Grundstücksertrag
2381,2381 Grundstücksertrag (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2381 Grundstücksertrag (nur Einzelunternehmen)
2389,"2389 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2389 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)"
2390,2390 Grundstücksertrag,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2390 Grundstücksertrag
2391,2391 Grundstücksertrag (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2391 Grundstücksertrag (nur Einzelunternehmen)
2399,Grundstücksertrag (Umsatzsteuerschlüssel möglich),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Grundstücksertrag (Umsatzsteuerschlüssel möglich)
,II. Kapital / Teilhafter,Passiva:A. Eigenkapital:a) Personengesellschaft:II. Kapital / Teilhafter
2050,Kommandit-Kapital,Passiva:A. Eigenkapital:a) Personengesellschaft:II. Kapital / Teilhafter:Kommandit-Kapital
2060,Verlustausgleichskonto,Passiva:A. Eigenkapital:a) Personengesellschaft:II. Kapital / Teilhafter:Verlustausgleichskonto
2070,Gesellschafter-Darlehen,Passiva:A. Eigenkapital:a) Personengesellschaft:II. Kapital / Teilhafter:Gesellschafter-Darlehen
,I. Kapital / Vollhafter / Einzelunternehmer,Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer
2000,Festkapital,Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer:Festkapital
2001,Kapital (fester Anteil nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer:Kapital (fester Anteil nur Einzelunternehmen)
2010,Variables Kapital,Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer:Variables Kapital
2011,"Kapital (variabler Anteil, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer:Kapital (variabler Anteil, nur Einzelunternehmen)"
2020,Gesellschafter-Darlehen,Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer:Gesellschafter-Darlehen
2030,Eigenkapital Einzelunternehmer (zur freien Verfügung),Passiva:A. Eigenkapital:a) Personengesellschaft:I. Kapital / Vollhafter / Einzelunternehmer:Eigenkapital Einzelunternehmer (zur freien Verfügung)
,IV. Privat Teilhafter,Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter
2500,"Privatentnahmen allgemein (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Privatentnahmen allgemein (TH), FK"
2510,"2510 Privatentnahmen allgemein (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2510 Privatentnahmen allgemein (TH), FK"
2520,"2520 Privatentnahmen allgemein (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2520 Privatentnahmen allgemein (TH), FK"
2530,"Unentgeltliche Wertabgaben (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Unentgeltliche Wertabgaben (TH), FK"
2540,"2540 Unentgeltliche Wertabgaben (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2540 Unentgeltliche Wertabgaben (TH), FK"
2550,"Privatsteuern (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Privatsteuern (TH), FK"
2560,"2560 Privatsteuern (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2560 Privatsteuern (TH), FK"
2570,"2570 Privatsteuern (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2570 Privatsteuern (TH), FK"
2580,Privateinlagen,Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Privateinlagen
2590,"2590 Privateinlagen (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2590 Privateinlagen (TH), FK"
2600,Sonderausgaben beschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Sonderausgaben beschränkt abzugsfähig
2610,"2610 Sonderausgaben beschränkt abzugsfähig (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2610 Sonderausgaben beschränkt abzugsfähig (TH), FK"
2620,"2620 Sonderausgaben beschränkt abzugsfähig (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2620 Sonderausgaben beschränkt abzugsfähig (TH), FK"
2630,Sonderausgaben unbeschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Sonderausgaben unbeschränkt abzugsfähig
2640,"2640 Sonderausgaben unbeschränkt abzugsfähig (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2640 Sonderausgaben unbeschränkt abzugsfähig (TH), FK"
2650,"Zuwendungen, Spenden -79","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Zuwendungen, Spenden -79"
2660,"2660 Zuwendungen, Spenden (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2660 Zuwendungen, Spenden (TH), FK"
2670,"2670 Zuwendungen, Spenden (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2670 Zuwendungen, Spenden (TH), FK"
2680,Außergewöhnliche Belastungen,Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Außergewöhnliche Belastungen
2690,"2690 Außergewöhnliche Belastungen (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2690 Außergewöhnliche Belastungen (TH), FK"
2700,Grundstücksaufwand,Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Grundstücksaufwand
2710,"2710 Grundstücksaufwand (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2710 Grundstücksaufwand (TH), FK"
2720,"2720 Grundstücksaufwand (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2720 Grundstücksaufwand (TH), FK"
2730,"2730 Grundstücksaufwand (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2730 Grundstücksaufwand (TH), FK"
2740,"2740 Grundstücksaufwand (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2740 Grundstücksaufwand (TH), FK"
2750,"Grundstücksertrag (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:Grundstücksertrag (TH), FK"
2760,"2760 Grundstücksertrag (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2760 Grundstücksertrag (TH), FK"
2770,"2770 Grundstücksertrag (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2770 Grundstücksertrag (TH), FK"
2780,"2780 Grundstücksertrag (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2780 Grundstücksertrag (TH), FK"
2790,"2790 Grundstücksertrag (TH), FK","Passiva:A. Eigenkapital:a) Personengesellschaft:IV. Privat Teilhafter:2790 Grundstücksertrag (TH), FK"
,b) Kapitalgesellschaft,Passiva:A. Eigenkapital:b) Kapitalgesellschaft
,I. Gezeichnetes Kapital,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital
2900,Gezeichnetes Kapital,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Gezeichnetes Kapital
2901,Geschäftsguthaben der verbleibenden Mitglieder,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Geschäftsguthaben der verbleibenden Mitglieder
2902,Geschäftsguthaben der ausscheidenden Mitglieder,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Geschäftsguthaben der ausscheidenden Mitglieder
2903,Geschäftsguthaben aus gekündigten Geschäftsanteilen,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Geschäftsguthaben aus gekündigten Geschäftsanteilen
2906,"Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt","Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt"
2907,"Gegenkonto Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt","Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Gegenkonto Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt"
2908,Kapitalerhöhung aus Gesellschaftsmitteln,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Kapitalerhöhung aus Gesellschaftsmitteln
2909,Erworbene eigene Anteile,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Erworbene eigene Anteile
2910,"Ausstehende Einlagen auf das gezeichnete Kapital, nicht eingefordert","Passiva:A. Eigenkapital:b) Kapitalgesellschaft:I. Gezeichnetes Kapital:Ausstehende Einlagen auf das gezeichnete Kapital, nicht eingefordert"
,II. Kapitalrücklage,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage
2920,Kapitalrücklage,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage:Kapitalrücklage
2925,Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage:Kapitalrücklage:Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag
2926,Kapitalrücklage durch Ausgabe von Schuldverschreibungen für Wandlungsrechte und Optionsrechte zum Erwerb von Anteilen,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage:Kapitalrücklage:Kapitalrücklage durch Ausgabe von Schuldverschreibungen für Wandlungsrechte und Optionsrechte zum Erwerb von Anteilen
2927,Kapitalrücklage durch Zuzahlungen gegen Gewährung eines Vorzugs für Anteile,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage:Kapitalrücklage:Kapitalrücklage durch Zuzahlungen gegen Gewährung eines Vorzugs für Anteile
2928,Andere Zuzahlungen in das Eigenkapital,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage:Kapitalrücklage:Andere Zuzahlungen in das Eigenkapital
2929,Eingefordertes Nachschusskapital,Passiva:A. Eigenkapital:b) Kapitalgesellschaft:II. Kapitalrücklage:Kapitalrücklage:Eingefordertes Nachschusskapital
,c) alle,Passiva:A. Eigenkapital:c) alle
,I. Gewinnrücklagen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen
2930,01. Gesetzliche Rücklage,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:01. Gesetzliche Rücklage
2935,Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:01. Gesetzliche Rücklage:Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen
2937,Andere Ergebnisrücklagen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:01. Gesetzliche Rücklage:Andere Ergebnisrücklagen
2950,02. Satzungsmäßige Rücklagen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:02. Satzungsmäßige Rücklagen
2959,Gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung),Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:02. Satzungsmäßige Rücklagen:Gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung)
2960,03. Andere Gewinnrücklagen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen
2961,Andere Gewinnrücklagen aus dem Erwerb eigener Anteile,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Andere Gewinnrücklagen aus dem Erwerb eigener Anteile
2962,Eigenkapitalanteil von Wertaufholungen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Eigenkapitalanteil von Wertaufholungen
2963,Gewinnrücklagen aus den Übergangsvorschriften BilMoG,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Gewinnrücklagen aus den Übergangsvorschriften BilMoG
2964,Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Sachanlagevermögen),Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Sachanlagevermögen)
2965,Andere Gewinnrücklagen 40% Vorbelastung,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Andere Gewinnrücklagen 40% Vorbelastung
2966,Andere Gewinnrücklagen 0% Vorbelastung (steuerliches Einlagekonto),Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Andere Gewinnrücklagen 0% Vorbelastung (steuerliches Einlagekonto)
2967,Andere Gewinnrücklagen 0% Vorbelastung (EK02),Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Andere Gewinnrücklagen 0% Vorbelastung (EK02)
2968,Latente Steuern (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Latente Steuern (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen
2969,Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen,Passiva:A. Eigenkapital:c) alle:I. Gewinnrücklagen:03. Andere Gewinnrücklagen:Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen
,II. Gewinnvortrag/Verlustvortrag vor Verwendung,Passiva:A. Eigenkapital:c) alle:II. Gewinnvortrag/Verlustvortrag vor Verwendung
2970,Gewinnvortrag vor Verwendung,Passiva:A. Eigenkapital:c) alle:II. Gewinnvortrag/Verlustvortrag vor Verwendung:Gewinnvortrag vor Verwendung
2975,Gewinnvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung),Passiva:A. Eigenkapital:c) alle:II. Gewinnvortrag/Verlustvortrag vor Verwendung:Gewinnvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung)
2977,Verlustvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung),Passiva:A. Eigenkapital:c) alle:II. Gewinnvortrag/Verlustvortrag vor Verwendung:Verlustvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung)
2978,Verlustvortrag vor Verwendung,Passiva:A. Eigenkapital:c) alle:II. Gewinnvortrag/Verlustvortrag vor Verwendung:Verlustvortrag vor Verwendung
,III. Sonderposten mit Rücklageanteil,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil
2980,Übrige andere Sonderposten,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten
2981,Sonderposten mit Rücklagenanteil nach §6b EStG,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Sonderposten mit Rücklagenanteil nach §6b EStG
2982,Rücklage für Ersatzbeschaffung,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Rücklage für Ersatzbeschaffung
2988,Rücklage für Zuschüsse,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Rücklage für Zuschüsse
2990,"Sonderposten mit Rücklageanteil, Sonderabschreibungen","Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Sonderposten mit Rücklageanteil, Sonderabschreibungen"
2995,Ausgleichsposten bei Entnahmen § 4g EStG,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Ausgleichsposten bei Entnahmen § 4g EStG
2997,Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG
2998,Sonderposten für Zuschüsse Dritter,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Sonderposten für Zuschüsse Dritter
2999,Sonderposten für Investitionszulagen,Passiva:A. Eigenkapital:c) alle:III. Sonderposten mit Rücklageanteil:Übrige andere Sonderposten:Sonderposten für Investitionszulagen
,IV. Jahresüberschuß/Jahresfehlbetrag,Passiva:A. Eigenkapital:c) alle:IV. Jahresüberschuß/Jahresfehlbetrag
,B. Rückstellungen,Passiva:B. Rückstellungen
3000,01. Rückstellungen für Pensionen und ähnliche Verpflichtungen,Passiva:B. Rückstellungen:01. Rückstellungen für Pensionen und ähnliche Verpflichtungen
3005,Rückstellungen für Pensionen und ähnliche Verpflichtungen gegenüber Gesellschaftern oder nahe stehenden Personen (10 % Beteiligung am Kapital),Passiva:B. Rückstellungen:01. Rückstellungen für Pensionen und ähnliche Verpflichtungen:Rückstellungen für Pensionen und ähnliche Verpflichtungen gegenüber Gesellschaftern oder nahe stehenden Personen (10 % Beteiligung am Kapital)
3009,Rückstellungen für Pensionen und ähnliche Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB,Passiva:B. Rückstellungen:01. Rückstellungen für Pensionen und ähnliche Verpflichtungen:Rückstellungen für Pensionen und ähnliche Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB
3010,Rückstellungen für Direktzusagen,Passiva:B. Rückstellungen:01. Rückstellungen für Pensionen und ähnliche Verpflichtungen:Rückstellungen für Direktzusagen
3011,Rückstellungen für Zuschussverpflichtungen für Pensionskassen und Lebensversicherungen,Passiva:B. Rückstellungen:01. Rückstellungen für Pensionen und ähnliche Verpflichtungen:Rückstellungen für Zuschussverpflichtungen für Pensionskassen und Lebensversicherungen
3015,Rückstellungen für pensionsähnliche Verpflichtungen,Passiva:B. Rückstellungen:01. Rückstellungen für Pensionen und ähnliche Verpflichtungen:Rückstellungen für pensionsähnliche Verpflichtungen
